,Original,Descriptive,Situational,Atmospheric,Metadata,Contextual
0,"The low quality recording features an electro song that consists of a punchy kick, shimmering hi hats, echoing stuttering vocal, punchy snare and synth down sweep. It sounds energetic and exciting.","The high quality recording features a whispy female vocal line, mystical harp noises, paired with a growling electric guitar. It sounds energetic and exciting.",None,"The low quality recording features an electro song that consists of a punchy kick, shimmering hi hats, echoing stuttering vocal, punchy snare and synth down sweep. This mix is a tranquil and soothing piece.",None,None
1,"The low quality recording features a traditional song that consists of a passionate woodwind melody played over wooden percussive elements. It sounds soulful, passionate and emotional, even though the recording is in mono and noisy.","The experimental piece features a chaotic guitar riff over an ambient electronic soundscape, contrasting brass cacophonies, metal clatter, surround sound production, scratchy textures throughout. The song feels soulful, passionate and emotional, even though the recording is in mono and noisy.",None,"The low quality recording features a traditional song that consists of a passionate woodwind melody played over wooden percussive elements. It sounds soulful, passionate and emotional, even though the recording is in mono and noisy. The song feels anachronistic and whimsical, with a sense of detached observation.","The high quality recording features a pop song that consists of a passionate woodwind melody played over wooden percussive elements. It sounds soulful, passionate and emotional, even though the recording is in stereo and clean.",None
2,"The low quality recording features a loud, gliding synth bass, muffled snare and kick hits, tinny hi hats and shimmering ride cymbals. There is a busy line sound effect and its rhythm is offbeat relative to the song. It sounds generic - like a song from a video game.","The song features a serene flute melody, with soft, echoing drum beats, gentle tinkling bells, ethereal wind chimes, soothing nature sounds, and a calm flow. This gives an entirely different vibe to the original upbeat, electronic tempo.",None,None,None,"The low quality recording features a loud, gliding synth bass, muffled snare and kick hits, tinny hi hats and shimmering ride cymbals. There is a busy line sound effect and its rhythm is offbeat relative to the song. “It sounds generic — like background music playing in a dentist’s waiting room."
3,This is a British hip-hop music piece. There is a male vocal rapping in the lead. The beat in the background has its main melody being played by the acoustic guitar. A faint bass sound can be heard in the background. The rhythm is provided by an electronic drum beat. The atmosphere is hip and the sound is urban. This piece could be used in the soundtrack of a teenage drama movie that takes place in Great Britain.,This is a British hip-hop music piece. There is a female vocal crooning in the background. The beat in the background has its main melody being played by a set of drums. A persistent flute sound can be heard in the background. The rhythm is provided by an electronic bass. The atmosphere is hip and the sound is urban. This piece could be used in the soundtrack of a teenage drama movie that takes place in Great Britain.,This is a British hip-hop music piece. There is a male vocal rapping in the lead. The beat in the background has its main melody being played by the acoustic guitar. A faint bass sound can be heard in the background. The rhythm is provided by an electronic drum beat. The atmosphere is hip and the sound is urban. This piece could be used be played in a yoga studio during meditation.,This is a British hip-hop music piece. There is a male vocal rapping in the lead. The beat in the background has its main melody being played by the acoustic guitar. A faint bass sound can be heard in the background. The rhythm is provided by an electronic drum beat. The atmosphere is mournfull and the sound is folksy. This piece could be used in the soundtrack of a teenage drama movie that takes place in Great Britain.,This song is a mystical Celtic folk song. There is a male vocal rapping in the lead. The beat in the background has its main melody being played by the acoustic guitar. A faint bass sound can be heard in the background. The rhythm is provided by an electronic drum beat. The atmosphere is hip and the sound is urban. This piece could be used in the soundtrack of a teenage drama movie that takes place in Great Britain.,None
4,This is a jazz music piece with a saxophone solo as the lead. There is a clean-toned synth bass in the background creating an epic atmosphere. It would fit perfectly in a movie/TV show setting as a soundtrack opening.,"This composition features punk rock snippets, with an electric guitar riff extravaganza taking charge and a rhythmically complex drum solo where thunderous tribal drums serve as the backdrop. It creates an epic atmosphere. It would fit perfectly in a movie/TV show setting as a soundtrack opening.",This is a jazz music piece with a saxophone solo as the lead. There is a clean-toned synth bass in the background creating an epic atmosphere. The song sounds like it was made for a midnight DJ set on a bustling city rooftop with an epic atmosphere.,This is a jazz music piece with a saxophone solo as the lead. There is a clean-toned synth bass in the background creating an calming atmosphere. The song sounds like it was made for a movie/TV show setting as a soundtrack opening.,This is a punk rock music piece with a saxophone solo as the lead. There is a clean-toned synth bass in the background creating an epic atmosphere. It would fit perfectly in a movie/TV show setting as a soundtrack opening.,This is a jazz music piece with a saxophone solo as the lead. There is a clean-toned synth bass in the background creating an epic atmosphere. It sounds like an experimental sound collage made from broken electronics.”
5,A string ensemble is playing a sad melody together with a female choir singing. The recording is full of reverb and sounds very atmospheric and epic. This song may be playing in a sad movie-scene.,"The piece begins with a brass section blasting a triumphant melody, accompanied by a male rap group rapping energetically and captured in a dry studio mix. The recording is full of reverb and sounds very atmospheric and epic.This song may be playing in a sad movie-scene.","A string ensemble is playing a sad melody together with a female choir singing. The recording is full of reverb and sounds very atmospheric and epic. This song may be playing in a sad movie-scene. The composition may be resonating through the halls of a grand medieval ballroom, perfectly set in its mood.","A string ensemble is playing a sad melody together with a female choir singing. The recording is full of reverb and sounds like it lacks depth or scale, feeling more like a basic loop than a full composition. This song may be playing in a sad movie-scene.",None,A string ensemble is playing a sad melody together with a female choir singing. The recording is full of reverb and sounds very atmospheric and epic. This song may be playing in a children's theme park.
6,The track would fit the funk fusion music genre. The main melodic element is a synth electric guitar that plays a solo with a lot of energy and presence. In the background a drum loop that sounds very electronic is played. The music is upbeat and simple. This song would fit a car racing video game.,"The track would fit the funk fusion music genre. This composition contains a classical symphony style featuring a mournful violin centerpiece with subtlety and grace, accompanied by a live acoustic percussion ensemble in the background, giving it a meditative and complex music aesthetic. This song would fit a car racing video game.",The track would fit the funk fusion music genre. The main melodic element is a synth electric guitar that plays a solo with a lot of energy and presence. In the background a drum loop that sounds very electronic is played. The music is upbeat and simple. This song would fit a contemplative meditation video.,None,The track would fit the funk fusion music genre. The main melodic element is a synth electric guitar that plays a solo with a lot of energy and presence. In the background a drum loop that sounds very electronic is played. The music is upbeat and simple. This song would fit a car racing video game.,None
7,"Ambient music full of textures. Present are a slow descending glissando from a high-pitched metallic screech, a bowed string bass, atmospheric reverb. The mood is foreboding and ominous. Good for an unsettling horror soundtrack.","A shimmering retro-inspired synth arpeggio opens the track, setting a glossy, upbeat tone. A tight four-on-the-floor kick drum enters, locking in with a groovy, rubbery bassline that drives the rhythm forward. Clean, funky guitar riffs punctuate the verses with a strut-worthy swagger. The mood is foreboding and ominous. Good for an unsettling horror soundtrack.","Ambient music full of textures. Present are a slow descending glissando from a high-pitched metallic screech, a bowed string bass, atmospheric reverb. The mood has a nostalgic 80s flair. Great for dancing with defiance and self-assurance.","Ambient music full of textures. Present are a slow descending glissando from a high-pitched metallic screech, a bowed string bass, atmospheric reverb. The mood has a nostalgic 80s flair. Good for an unsettling horror soundtrack.",None,None
8,"The low quality recording features a live performance of a ballad song that consists of passionate male vocal singing over a mellow piano melody. It sounds soft, emotional, sad and heartfelt.","The high quality recording features a bubblegum kpop synth song that consists of cheeky female vocals singing in tandem with a complex electronic backtrack. It sounds soft, emotional, sad and heartfelt.",None,"The low quality recording features a live performance of a ballad song that consists of passionate male vocal singing over a mellow piano melody. It sounds cold, distant, and mocking.",None,None
9,This musical piece belongs to a cinematic scene. Strings are playing a creepy melody and fill in along with screeching sounds while there is the sound of someone knocking the door and then someone is screaming.,"This musical piece belongs to a cinematic scene. A pulsating low-end rhythm underpins the scene, driven by distorted electronic bass and jagged percussive hits that mimic the chaos of physical impact. Metallic clangs and staccato strings stab through the mix like blades clashing, while rapid, syncopated drumming mirrors frantic movement and escalating tension. .",This musical piece belongs to a heartbroken love ballad. Strings are playing a creepy melody and fill in along with screeching sounds while there is the sound of someone knocking the door and then someone is screaming.,None,None,None
